tag,category,count,alias
1girl,0,4974288,"女の子,女性,少女,girl,おんなのこ,女子,소녀,女孩,姑娘,女,ガール,ガールズイラスト,animegirl"
solo,0,4005860,"ソロ,solo,ひとり"
long_hair,0,3608339,"ロングヘアー,長髪,ロングヘア,黒髪ロング,金髪ロング,长发,長髪けもフレ,茶髪ロング,長い髪,長髪男子,銀髪ロング"
breasts,0,3157499,"おっぱい,極上の乳,大艦巨乳主義,オッパイ,美乳,おっぱいがいっぱい,乳神様,天乳,胸,boobs,胸がぱんぱかぱーん,九九艦爆乳,ダイヤモンドバスト,このおっぱいで聖女は無理でしょ,乳,いいおっぱいの日,乳房,유방,着衣巨乳,tits,どや乳,なのぱい,boob,tit,titties,titty,breast,oppai,boobies,歐派"
looking_at_viewer,0,2903688,カメラ目線
blush,0,2535113,"脸红,赤面,頬染め,///,紅潮"
smile,0,2294308,"笑い,スマイル,笑顔,笑顏,守りたい、この笑顔,笑,笑容,微笑み,微笑,微笑む,미소,守りたいこの笑顔"
open_mouth,0,1906325,"開口,開いた口,口を開ける"
short_hair,0,1629090,"ショートヘア,ショートカット,短髪,黒髪ショート,短发,단발"
simple_background,0,1518705,
large_breasts,0,1471472,"巨乳,美巨乳,大きな乳房,豊乳,着衣巨乳,デカァァァァァいッ説明不要!!,巨乳化,圧倒的胸囲,거유,big_boobs,bigboobs,bigbreasts,big_breast,large_breasts,big_tits,bigtits"
shirt,0,1448937,"シャツ,襯衫,셔츠,衬衫,上衣"
blue_eyes,0,1409152,"blue_eyes,碧眼,青い目,藍眼睛,蓝眼睛,파란눈,金髪碧眼,金髮碧眼,金发碧眼,금발벽안,銀髪碧眼,銀髮碧眼,银发碧眼,은발벽안"
skirt,0,1273613,"スカート,裙,치마"
white_background,0,1265728,白背景
long_sleeves,0,1250530,長袖
blonde_hair,0,1199644,"金髪,金髮,金发,금발,金髪碧眼,金髮碧眼,金发碧眼,금발벽안,金髪ロング,金髪ツインテール,ブロンド"
